idmarca;marca
; Simon ( 23 - 07 - 03 )
; Simpesfaip
; Simpson
; Sincrotest
; Smatic
; Smc
; Soar
; Soler
; Solgar
; Somso C - 17
; Somso D - 25
; Somso D - 30
; Somso E- 11
; Somso F - 12
; Somso G -12
; Somso K - 21
; Sony
; Sound Ideas
; Spot
; Spraymaq
; Sprecher
; Square
; Starvox
; Stayer
; Stone Wood
; Studiomaster
; Sunsihine
; Super Lema
; Superema
; Sz
; T-180 (Lincoln Electronic)
; T7
; T7P
; T8
; Taci
; Taiwan
; Takeda Rikem
; Tascam
; Tatung
; Taylor
; Tb7
; Tbk
; Teac
; Teak
; Team
; Technics
; Technisat
; Tedak
; Tegui
; Teide
; Tejero
; Tektronix
; Telect
; Telefonica
; Telefumken
; Telefunken
; Telemecanique
; Telequipment
; Telequipment (22 - 07 - 03)
; Televes
; Televes (Graphics)
; Tellsa
; Teltronic
; Telyco
; Tenda
; Tenma
; Tes
; Tesa
; Testboy
; Tm 3401
; Toa
; Topward
; Trainer
; Trendnet
; Trio
; Trio ( 22 - 07 - 03)
; Trolley Jack
; Trust
; Ttl ( 22 - 07 - 03 )
; U3S
; Unaohm ( 22 - 07 - 92 )
; Unc
; Unik
; Unimate
; Uni-Pex
; Uniz
; Urpe
; Ursus
; Velleman
; Volvo
; Vulvo
; Wavetel
; Weldlime
; Wheatstone
; Winfast
; Withworth
; Wnderton
; Wodafone
; Work
; Wurth
; Yaesu
; Yamaha
; Yew
; Yfe
; Yokogawa
; Ziur
; Zubal
; Zudam
