id;idmaterial;fecha;hora;idUsuario;observaciones
;138;1998-01-13;20:44:13;;
;138;1998-01-14;20:08:13;;
;138;2001-07-24;9:48:11;;
;138;2003-07-23;12:42:19;;
;139;1998-10-07;19:54:23;;
;139;1998-10-07;20:20:55;;
;139;2001-07-24;9:48:42;;
;139;2003-07-23;12:42:54;;
;140;1998-10-07;20:23:41;;
;140;2001-07-24;9:49:10;;
;140;2003-07-23;12:43:45;;
;141;1997-10-01;11:46:23;;
;141;2001-07-23;11:12:36;;
;142;1997-10-01;11:26:27;;
;142;2001-07-23;11:12:52;;
;143;2003-09-08;12:06:52;;
;143;2003-09-08;12:07:42;;
;143;2003-09-08;12:08:12;;
;144;2003-09-08;12:09:19;;
;144;2003-09-08;12:09:48;;
;145;2003-09-08;12:10:29;;
;146;2003-09-08;12:11:08;;
;147;1997-10-20;19:00:43;;
;147;1997-10-20;19:05:55;;
;148;1997-11-20;11:47:53;;
;148;2001-07-24;12:19:44;;
;148;2002-03-18;13:22:49;;
;148;2004-05-12;17:19:50;;
;149;2001-07-24;12:41:10;;
;149;2002-03-18;13:26:41;;
;150;2001-07-24;12:41:52;;
;150;2002-03-18;13:27:09;;
;150;2011-09-29;17:48:08;;
;151;2001-07-24;12:42:35;;
;151;2002-03-18;13:27:22;;
;151;2011-09-29;17:47:41;;
;152;2001-07-24;12:38:29;;
;152;2002-03-18;13:27:44;;
;152;2003-07-02;17:33:34;;
;153;2001-07-24;12:39:10;;
;153;2002-03-18;13:27:55;;
;153;2003-07-02;17:33:50;;
;154;2001-07-24;12:40:25;;
;154;2002-03-18;13:28:55;;
;155;2001-12-03;9:01:45;;
;155;2001-12-03;9:40:32;;
;155;2001-12-19;17:37:39;;
;155;2002-03-14;19:20:51;;
;155;2002-03-14;19:24:38;;
;155;2002-03-18;17:58:49;;
;155;2004-03-17;10:56:50;;
;156;1997-09-30;20:53:24;;
;156;1997-09-30;20:54:22;;
;157;1997-11-05;10:09:30;;
;157;1997-11-05;18:57:05;;
;158;1997-11-05;10:12:58;;
;158;1997-11-05;18:57:05;;
;159;1997-11-05;10:13:42;;
;159;1997-11-05;18:57:05;;
;160;1997-11-05;10:14:04;;
;160;1997-11-05;18:57:05;;
;161;1997-11-05;10:14:23;;
;161;1997-11-05;18:57:05;;
;162;1997-11-05;10:14:42;;
;162;1997-11-05;18:57:06;;
;163;1997-11-05;10:15:02;;
;163;1997-11-05;18:57:06;;
;164;1997-11-05;10:15:23;;
;164;1997-11-05;18:57:06;;
;165;1997-11-05;10:15:41;;
;165;1997-11-05;18:57:06;;
;166;1997-11-05;10:16:39;;
;166;1997-11-05;18:57:06;;
;167;1997-11-05;10:16:58;;
;167;1997-11-05;18:57:06;;
;168;1997-11-05;10:17:18;;
;168;1997-11-05;18:57:06;;
;169;1997-11-05;10:17:40;;
;169;1997-11-05;18:57:07;;
;170;1997-11-05;10:18:04;;
;170;1997-11-05;18:57:07;;
;171;1997-10-01;21:55:05;;
;171;1998-01-14;12:47:23;;
;171;2000-12-22;18:05:54;;
;172;1997-10-01;21:28:04;;
;172;1997-10-01;21:42:15;;
;172;1997-10-01;21:47:06;;
;172;1997-10-01;21:53:33;;
;172;2000-12-22;18:06:22;;
;173;1997-10-01;20:46:36;;
;173;2000-12-22;18:04:23;;
;174;1997-11-05;11:06:20;;
;174;1997-11-05;18:57:08;;
;174;2001-01-15;19:55:22;;
;174;2003-07-22;12:29:43;;
;174;2003-10-22;9:09:05;;
;175;1997-11-05;11:08:46;;
;175;1997-11-05;18:57:08;;
;175;2001-01-15;19:56:06;;
;175;2003-07-22;12:33:24;;
;175;2003-10-22;9:09:22;;
;176;1997-11-05;11:11:53;;
;176;1997-11-05;18:57:09;;
;176;2001-01-15;19:56:43;;
;176;2003-07-22;12:31:04;;
;176;2003-10-22;9:09:35;;
;176;2007-12-03;8:54:20;;
;177;1997-11-05;11:12:31;;
;177;1997-11-05;18:57:09;;
;177;2001-01-15;19:56:54;;
;177;2003-07-22;12:36:29;;
;177;2003-10-22;9:09:50;;
;178;1997-11-05;11:07:25;;
;178;1997-11-05;18:57:08;;
;179;1997-11-05;11:07:58;;
;179;1997-11-05;18:57:08;;
;180;1997-11-05;11:10:10;;
;180;1997-11-05;18:57:08;;
;181;1997-11-05;11:11:22;;
;181;1997-11-05;18:57:08;;
;182;1997-11-05;10:20:58;;
;182;1997-11-05;18:57:07;;
;183;1997-11-05;10:23:06;;
;183;1997-11-05;18:57:07;;
;184;1997-11-05;10:23:44;;
;184;1997-11-05;18:57:07;;
;185;1997-11-05;10:25:59;;
;185;1997-11-05;18:57:07;;
;186;1997-11-05;10:26:22;;
;186;1997-11-05;18:57:07;;
;187;1997-10-01;21:43:44;;
;187;2000-12-22;18:07:06;;
;188;1997-10-01;21:44:22;;
;188;2000-12-22;18:07:30;;
;189;1997-10-01;21:44:58;;
;189;2000-12-22;18:07:58;;
;190;1997-10-01;21:46:01;;
;190;2000-12-22;18:08:36;;
;191;1997-10-01;21:07:14;;
;191;2000-12-22;18:09:01;;
;192;1997-10-01;21:23:01;;
;192;1997-10-01;21:26:48;;
;192;2000-12-22;18:09:25;;
;193;1997-10-01;21:31:53;;
;193;2000-12-22;18:09:47;;
;194;1997-10-01;21:38:50;;
;194;2000-12-22;18:10:14;;
;195;1997-10-01;21:39:27;;
;195;2000-12-22;18:12:55;;
;196;1997-10-01;21:40:36;;
;196;2000-12-22;18:13:38;;
;197;1997-10-01;21:41:06;;
;197;2000-12-22;18:14:08;;
;198;1997-10-01;21:41:35;;
;198;2000-12-22;18:14:35;;
;199;1997-10-01;21:52:36;;
;199;2000-12-22;18:14:59;;
;200;1998-01-14;12:47:57;;
;200;1998-01-14;12:48:28;;
;200;2000-12-22;18:15:24;;
;201;1998-01-14;12:47:57;;
;201;1998-01-14;12:48:41;;
;201;2000-12-22;18:15:51;;
;202;1998-01-14;12:47:57;;
;202;1998-01-14;12:49:00;;
;202;2000-12-22;18:17:20;;
;203;1998-01-14;12:47:57;;
;203;1998-01-14;12:49:12;;
;203;2000-12-22;18:17:42;;
;204;1998-01-14;12:47:57;;
;204;1998-01-14;12:49:21;;
;204;2000-12-22;18:18:05;;
;205;1998-01-14;12:47:57;;
;205;1998-01-14;12:49:44;;
;205;2000-12-22;18:18:39;;
;206;1997-11-05;17:00:27;;
;207;1997-11-05;16:27:24;;
;208;1997-11-05;16:54:27;;
;209;1997-11-05;17:24:38;;
;210;1997-11-05;18:07:24;;
;211;1997-11-05;8:51:46;;
;211;1997-11-05;8:58:23;;
;211;1997-11-05;16:19:10;;
;212;1997-11-05;8:59:23;;
;212;1997-11-05;16:20:51;;
;213;1997-11-05;8:59:55;;
;213;1997-11-05;16:21:39;;
;214;1997-11-05;11:36:00;;
;214;1997-11-05;16:22:33;;
;215;1997-11-05;11:37:07;;
;215;1997-11-05;16:23:18;;
;216;1997-11-05;11:37:41;;
;216;1997-11-05;11:38:43;;
;216;1997-11-05;16:16:03;;
;217;1997-11-05;12:04:06;;
;217;1997-11-05;16:24:13;;
;218;1997-11-05;18:27:22;;
;219;1997-11-05;18:29:01;;
;220;1997-11-05;18:45:39;;
;221;1997-11-05;18:46:51;;
;222;1997-11-05;18:47:49;;
;223;1997-11-05;18:48:48;;
;224;1997-11-05;12:04:48;;
;224;1997-11-05;16:16:55;;
;224;2003-07-22;12:38:32;;
;224;2003-10-22;9:10:43;;
;225;1997-11-05;12:12:52;;
;225;1997-11-05;16:10:22;;
;225;1997-11-05;16:17:45;;
;225;2003-07-24;8:35:59;;
;226;1997-09-30;21:54:48;;
;227;1997-09-30;21:56:22;;
;228;1997-09-30;21:59:22;;
;228;1998-01-13;11:28:35;;
;228;1998-01-13;11:29:33;;
;229;1997-09-30;22:03:10;;
;229;1998-01-13;11:28:35;;
;229;1998-01-13;11:29:33;;
;230;1997-11-05;18:35:51;;
;230;2003-07-24;9:30:15;;
;231;1997-11-05;11:58:34;;
;231;1997-11-05;12:14:52;;
;231;1997-11-05;12:19:08;;
;231;1997-11-05;18:35:24;;
;232;1997-11-05;18:30:16;;
;233;1997-09-30;22:05:26;;
;233;1998-01-13;11:28:01;;
;234;1997-09-30;22:06:55;;
;234;1998-01-13;11:24:11;;
;235;1997-10-01;20:04:30;;
;235;1998-01-14;12:52:01;;
;235;2000-12-22;18:19:50;;
;236;1997-09-30;22:09:11;;
;237;1997-11-05;12:24:06;;
;237;1997-11-05;12:25:06;;
;237;2003-07-23;13:45:06;;
;238;1997-11-05;12:31:47;;
;238;2003-07-24;9:07:31;;
;239;1997-11-05;12:22:09;;
;239;2003-07-24;8:40:18;;
;240;1997-11-05;12:27:12;;
;240;2003-07-24;8:39:32;;
;241;1997-11-05;12:41:51;;
;241;2003-07-24;9:23:38;;
;242;1997-11-05;12:32:58;;
;243;1997-11-05;12:34:07;;
;244;1997-11-05;12:35:11;;
;245;1997-11-05;12:36:23;;
;246;1997-11-05;12:44:12;;
;246;1997-11-05;12:45:04;;
;247;1997-11-05;12:45:43;;
;248;1997-11-05;12:46:38;;
;249;1997-11-05;12:47:50;;
;250;1997-09-30;22:10:10;;
;251;1997-11-05;12:52:02;;
;251;1997-11-05;12:52:24;;
;251;2003-07-23;13:46:10;;
;252;1997-11-05;12:53:36;;
;252;1997-11-05;16:11:29;;
;252;2003-07-23;13:47:09;;
;253;1997-11-05;8:45:33;;
;253;1997-11-05;8:50:04;;
;254;1997-09-30;22:08:06;;
;254;1998-01-09;10:59:04;;
;255;1997-11-05;12:54:50;;
;255;2003-07-23;13:48:17;;
;256;1998-01-13;13:02:21;;
;257;2001-10-31;12:27:53;;
;258;2001-10-31;12:28:29;;
;259;1997-11-18;12:38:19;;
;259;1997-11-18;13:49:33;;
;259;2001-10-31;12:29:23;;
;259;2001-10-31;12:31:12;;
;260;1998-01-27;21:32:37;;
;260;1998-01-28;11:44:06;;
;260;1998-01-30;9:43:42;;
;260;2001-07-24;11:56:15;;
;260;2004-05-11;16:57:36;;
;260;2007-01-26;18:30:21;;
;261;1998-01-30;9:48:04;;
;261;1998-01-30;9:49:34;;
;261;2001-07-24;11:56:24;;
;262;1997-10-01;13:19:31;;
;262;2001-07-23;11:23:50;;
;262;2012-10-23;9:24:31;;
;263;1997-10-01;13:15:03;;
;263;2001-07-23;11:23:22;;
;263;2001-07-24;10:55:13;;
;264;1998-01-13;13:06:05;;
;265;1999-06-29;11:58:37;;
;265;2001-07-24;11:50:57;;
;265;2003-07-23;12:44:33;;
;266;2001-06-29;10:02:22;;
;267;1997-11-06;17:35:34;;
;268;1997-11-06;17:38:59;;
;269;1997-11-06;17:40:12;;
;270;1997-11-06;17:41:19;;
;271;1997-11-06;17:42:12;;
;272;1997-11-06;17:47:38;;
